sgRNA_sequence,Ga_chimeric,Repository_page_link,Vector_type,tTA_TEV,Status_Milestone_cDNA,oGPCR_Uni,Name,Status_Milestone_CRISPR,Promoter,Presto_protease,Vector_page_link,Empty,Chimeric_Uni,Repository,Gene,Data_page_link,Vector_ID,Vector_backbone_id,oGPCR,Tag,RRID,id,pharosReady
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRA1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/1b466966-0d38-462e-8760-d7cece04516f,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRA3,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/61c620e2-55cb-4934-acc7-ccff3297798e,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRB2,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/f745ce71-5a87-44c0-84d4-fc3b49440f50,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRB3,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/02c0661d-abf2-4d82-a63f-038b01535f1b,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRD1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/f05a6755-62f5-47a9-b971-c86944e37475,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRD2,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/3ef08fad-db99-428e-9d4f-dc4abb98b453,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRE1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/b81d2023-4f22-49a9-a3d4-456a0f3a5d0e,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRE3,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/3ff09266-bbe3-4244-b1d1-5ac84afbf1c2,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRF1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/2c33c4d4-727a-46c7-b76e-f8df5db8a518,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRF2,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/5a36c519-9f40-4eb9-b9e8-728bbe8eda27,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRF3,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/a6f80758-cb45-423b-9e3d-f348d267c50a,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRF4,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/02763d46-cc0a-44e7-8d83-a739ba00e7b9,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRF5,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/c2a46e6c-a2c2-4209-8524-09b2db83d9ab,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRG2,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/aedccb02-9f9c-476b-8b39-e81e1ac4a1c9,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRG3,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/594c653f-6737-4293-baf3-619bfb3c4079,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRG4,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/8e3d97a1-e48b-437c-9d56-6973198a7348,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRG5,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/2302b69d-248d-4af7-a042-c51199ec18d7,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRG7,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/d773a1cb-34d1-49ed-a996-76172bbecb79,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,FZD10,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/d7a91f33-832f-4997-a4b4-e0885fd40ea1,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GNRHR2,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/40ea50b1-58f4-49c6-84d7-91d2bb164b94,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR101,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/796d4e51-55c8-4c7c-bfdf-c32d39efead5,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR12,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/22a93a61-9bb8-4af0-94e0-60c9871a72d1,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR135,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/c904b551-c81e-4065-ad01-9a153fe19372,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR137,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/97e7d295-e178-45e9-9094-7f41c1b3c1ce,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR139,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/85c3a3a2-32f3-4010-a37c-b49248711d67,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR141,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/90014220-8e82-4807-a37f-160174efc63f,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR142,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/4bec600c-b5b7-43f0-9bb3-023247280efc,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR146,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/165c6594-342e-4db2-aaae-88da89cce913,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR149,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/16d61e94-520a-4517-9a84-0af1c3b454e2,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR150,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/55ef9769-d70d-49d6-9602-20b9fd8c698f,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR151,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/8c74ea19-420d-451f-adcb-023d8979f6b5,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR152,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/a12a1b33-920d-4e10-8cfd-edadbbdd2f13,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR153,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/606f3887-2f48-40b3-b539-9e9c03d4978e,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR156,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/421fece7-dbe6-41de-9bee-7a97bc1550c9,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR157,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/476fc449-e445-4e78-b88d-c5996a5361c9,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR160,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/4e062674-7fee-45e9-ac36-b5b82322b273,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR162,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/369ee548-bf95-4744-a64c-1e6986de3e8d,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR171,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/488651ce-a128-4925-9dfb-fdc8585247e9,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR173,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/0079a6ce-4b9b-4908-ad82-b63d6fd378cb,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR174,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/5da11b58-1b76-4584-a848-59f6b83308fa,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR18,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/9cceaefd-7d29-473c-bfca-a0092763b67f,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR19,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/a5dcefc9-e535-4596-b5a6-2f88e5e75ce3,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR20,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/1f787ae2-d65d-4b34-bd1f-138041f04344,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR21,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/6082dc02-a4f9-4ba3-81fe-e916ba489ae2,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR22,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/1cd1fcb5-a0d4-4fbc-ace3-45a57606299f,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR25,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/308eab27-8cc4-4d2f-808e-3b6be21388f0,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR26,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/b5c93b0b-75e3-48b3-8deb-023c1cb5db37,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR27,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/acb496af-452c-4c1b-a00a-a706cf1e5f16,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR3,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/976d9709-4b94-44e0-9c45-24c23f24d100,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR31,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/03ad757f-5630-487d-a472-0bfbfdb0fb2c,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR32,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/7acbee83-f6af-48e4-90c4-87345d7036fc,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR34,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/939d67ee-d6de-4879-971f-7d49e0a58af6,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR37L1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/ba1568aa-9a3c-4d90-a3c1-12d92d9f9301,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR4,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/0c60fd25-5ea3-45cc-8ea1-daa02001532b,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR45,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/ecac9959-e5d1-46b8-b6cc-bdb33ceed811,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR52,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/f434a878-01dd-446d-a80a-d6b7a7ca0e72,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR6,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/84d8625d-88d8-4e1d-b8ab-735e1c6c506a,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR61,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/3922dbbd-2286-4f04-8a47-e92c53f7fc7e,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR62,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/fd8dc232-d66e-4c49-a908-0e273cf09cf2,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR63,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/e1a27038-acbe-4817-8621-3f5f56214bb3,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR65,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/8a5f972f-d137-44d7-a10a-5ac23e09436f,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR75,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/9efdc148-122a-4646-a5c9-e90bc908f44d,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR78,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/200fe004-b7d8-4ecf-93da-2e99608f5b8c,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR82,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/c7f2d04e-ca14-4f8c-bc32-58aac9eaf126,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR85,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/e4f747bf-dbe3-4988-bcb7-8e3ad01e6e40,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR87,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/417bdd33-c10c-4eef-97cf-a558a7743c94,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPR88,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/d630be28-9c70-4a94-9992-a71eaacc558a,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPRC5A,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/31ba3b1d-7591-4a61-9f81-3b354ef1bd76,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPRC5B,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/595aa52e-865d-46c0-877d-a61759463bbc,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPRC5C,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/635b0989-fc44-4c40-8564-578c60502e37,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,GPRC5D,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/ce47f55a-3a0e-41aa-aa2c-4ff9d61df02e,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,HCAR1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/1147e63e-b620-4905-8197-940daef739e1,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,HCAR3,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/9d28a07d-8b78-4a92-ac6f-e8b6d08a5453,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,LPAR6,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/87c2feea-0d4f-46e8-a8a5-be59e4ebf291,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,MRGPRE,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/531d5fe4-2e8f-4e16-93f4-f7661e07843e,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,MRGPRF,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/a4660b7c-c23a-498c-bde3-69276aa57bf5,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,MRGPRG,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/e6776414-25f8-4a34-a87f-e955ba83ab5c,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,MRGPRX1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/a1e9231f-8046-4b6b-8da7-5ed9011dbdb3,true
